start_time,date,sopr_ratio
1683504000000,2023-05-08,1.412040354304691
1683590400000,2023-05-09,1.156120066819269
1683676800000,2023-05-10,1.0664429965632989
1683763200000,2023-05-11,1.0164808842808577
1683849600000,2023-05-12,1.3068359589696017
1683936000000,2023-05-13,1.0449934411118182
1684022400000,2023-05-14,1.5277908898864152
1684108800000,2023-05-15,2.156447657552465
1684195200000,2023-05-16,1.156801789869911
1684281600000,2023-05-17,0.9936412596352924
1684368000000,2023-05-18,0.9038761426882228
1684454400000,2023-05-19,1.150536078436687
1684540800000,2023-05-20,1.202179729247738
1684627200000,2023-05-21,1.1236471534126875
1684713600000,2023-05-22,1.0364566559715194
1684800000000,2023-05-23,1.025651383498683
1684886400000,2023-05-24,1.12220169639845
1684972800000,2023-05-25,1.2580276485861224
1685059200000,2023-05-26,1.2127474241894312
