timestamp,btc_inter-entity-flows_miner-to-exchange_date,btc_inter-entity-flows_miner-to-exchange_flow_mean,btc_inter-entity-flows_miner-to-exchange_flow_total,btc_inter-entity-flows_miner-to-exchange_transactions_count_flow,btc_exchange-flows_inflow_date,btc_exchange-flows_inflow_inflow_mean,btc_exchange-flows_inflow_inflow_mean_ma7,btc_exchange-flows_inflow_inflow_top10,btc_exchange-flows_inflow_inflow_total,btc_exchange-flows_outflow_date,btc_exchange-flows_outflow_outflow_mean,btc_exchange-flows_outflow_outflow_mean_ma7,btc_exchange-flows_outflow_outflow_top10,btc_exchange-flows_outflow_outflow_total,btc_flow-indicator_exchange-whale-ratio_date,btc_flow-indicator_exchange-whale-ratio_exchange_whale_ratio,btc_flow-indicator_fund-flow-ratio_date,btc_flow-indicator_fund-flow-ratio_fund_flow_ratio,btc_flow-indicator_stablecoins-ratio_date,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio,btc_flow-indicator_stablecoins-ratio_stablecoins_ratio_usd,btc_market-indicator_mvrv_date,btc_market-indicator_mvrv_mvrv,btc_market-indicator_sopr-ratio_date,btc_market-indicator_sopr-ratio_sopr_ratio,coinglass_futures_openInterest_ohlc-history_c,coinglass_futures_openInterest_ohlc-history_h,coinglass_futures_openInterest_ohlc-history_l,coinglass_futures_openInterest_ohlc-history_o,coinglass_futures_openInterest_ohlc-history_t,coinglass_futures_fundingRate_ohlc-history_c,coinglass_futures_fundingRate_ohlc-history_h,coinglass_futures_fundingRate_ohlc-history_l,coinglass_futures_fundingRate_ohlc-history_o,coinglass_futures_fundingRate_ohlc-history_t,coinglass_futures_liquidation_v2_history_longLiquidationUsd,coinglass_futures_liquidation_v2_history_shortLiquidationUsd,coinglass_futures_liquidation_v2_history_t,coinglass_price_ohlc-history_c,coinglass_price_ohlc-history_h,coinglass_price_ohlc-history_l,coinglass_price_ohlc-history_o,coinglass_price_ohlc-history_t,coinglass_price_ohlc-history_v,data_source
1970-01-01 00:27:52.718400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16678,16691.2,16675.2,16684.4,1672718400,38888347.7257,REAL
1970-01-01 00:27:52.722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16720,16721.9,16677.7,16677.9,1672722000,94910769.0811,REAL
1970-01-01 00:27:52.725600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16719.8,16774,16717.7,16720,1672725600,250239726.0413,REAL
1970-01-01 00:27:52.729200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16723.1,16726.4,16700.6,16719.8,1672729200,107564452.5726,REAL
1970-01-01 00:27:52.732800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16710,16728.9,16691.7,16723.1,1672732800,113987676.313,REAL
1970-01-01 00:27:52.736400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16732.9,16750.5,16710,16710.1,1672736400,109311376.1019,REAL
1970-01-01 00:27:52.740000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16718.3,16740.9,16716,16732.9,1672740000,79882695.9847,REAL
1970-01-01 00:27:52.743600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16714.2,16729.8,16703,16718.2,1672743600,64836587.0921,REAL
1970-01-01 00:27:52.747200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16703.7,16721.2,16695.7,16714.2,1672747200,101358402.0874,REAL
1970-01-01 00:27:52.750800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16718.1,16732.2,16703.7,16703.8,1672750800,94175339.3335,REAL
1970-01-01 00:27:52.754400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16653.1,16764.9,16633,16718.2,1672754400,551987876.2866,REAL
