start_time,date,fund_flow_ratio
1683331200000,2023-05-06,0.01600045
1683417600000,2023-05-07,0.00621316
1683504000000,2023-05-08,0.02440459
1683590400000,2023-05-09,0.02613144
1683676800000,2023-05-10,0.02349111
1683763200000,2023-05-11,0.02543601
1683849600000,2023-05-12,0.02588837
1683936000000,2023-05-13,0.02033478
1684022400000,2023-05-14,0.0176976
1684108800000,2023-05-15,0.02439627
1684195200000,2023-05-16,0.01891924
1684281600000,2023-05-17,0.0232514
1684368000000,2023-05-18,0.0213366
1684454400000,2023-05-19,0.02127734
1684540800000,2023-05-20,0.01815256
1684627200000,2023-05-21,0.01571852
1684713600000,2023-05-22,0.01810339
1684800000000,2023-05-23,0.02082883
1684886400000,2023-05-24,0.01973926
1684972800000,2023-05-25,0.03145089
1685059200000,2023-05-26,0.02771466
1685145600000,2023-05-27,0.02269494
1685232000000,2023-05-28,0.02403671
1685318400000,2023-05-29,0.02329875
1685404800000,2023-05-30,0.02069861
1685491200000,2023-05-31,0.01839801
1685577600000,2023-06-01,0.01895131
1685664000000,2023-06-02,0.0203297
1685750400000,2023-06-03,0.02913503
1685836800000,2023-06-04,0.01975699
1685923200000,2023-06-05,0.02583283
1686009600000,2023-06-06,0.0284492
1686096000000,2023-06-07,0.04410197
1686182400000,2023-06-08,0.03367218
1686268800000,2023-06-09,0.02648388
1686355200000,2023-06-10,0.04175991
1686441600000,2023-06-11,0.0274567
1686528000000,2023-06-12,0.03066357
1686614400000,2023-06-13,0.03304029
1686700800000,2023-06-14,0.03554138
1686787200000,2023-06-15,0.05098714
1686873600000,2023-06-16,0.0481198
1686960000000,2023-06-17,0.04465214
1687046400000,2023-06-18,0.04307188
1687132800000,2023-06-19,0.03225435
1687219200000,2023-06-20,0.04151299
1687305600000,2023-06-21,0.04659918
1687392000000,2023-06-22,0.03891276
1687478400000,2023-06-23,0.04536578
1687564800000,2023-06-24,0.05414635
1687651200000,2023-06-25,0.04820064
1687737600000,2023-06-26,0.0346916
1687824000000,2023-06-27,0.03725397
1687910400000,2023-06-28,0.03827376
1687996800000,2023-06-29,0.03632701
1688083200000,2023-06-30,0.04310337
1688169600000,2023-07-01,0.04132348
1688256000000,2023-07-02,0.04609273
1688342400000,2023-07-03,0.03877312
1688428800000,2023-07-04,0.04550152
1688515200000,2023-07-05,0.04666677
1688601600000,2023-07-06,0.04373083
1688688000000,2023-07-07,0.041889
1688774400000,2023-07-08,0.04029489
1688860800000,2023-07-09,0.04007561
1688947200000,2023-07-10,0.04138418
1689033600000,2023-07-11,0.04482366
1689120000000,2023-07-12,0.04128999
1689206400000,2023-07-13,0.04800797
1689292800000,2023-07-14,0.04435875
1689379200000,2023-07-15,0.03273914
1689465600000,2023-07-16,0.03070096
1689552000000,2023-07-17,0.03039807
1689638400000,2023-07-18,0.0271137
1689724800000,2023-07-19,0.04141153
1689811200000,2023-07-20,0.03277278
1689897600000,2023-07-21,0.02963076
1689984000000,2023-07-22,0.02704922
1690070400000,2023-07-23,0.03368711
1690156800000,2023-07-24,0.03938143
1690243200000,2023-07-25,0.04288903
1690329600000,2023-07-26,0.05250315
1690416000000,2023-07-27,0.05737968
1690502400000,2023-07-28,0.04549984
1690588800000,2023-07-29,0.05602644
1690675200000,2023-07-30,0.0390544
1690761600000,2023-07-31,0.03521845
1690848000000,2023-08-01,0.040159
1690934400000,2023-08-02,0.05033296
1691020800000,2023-08-03,0.0399885
1691107200000,2023-08-04,0.03434957
1691193600000,2023-08-05,0.03891376
1691280000000,2023-08-06,0.03966504
1691366400000,2023-08-07,0.03771839
1691452800000,2023-08-08,0.03259321
1691539200000,2023-08-09,0.03044238
1691625600000,2023-08-10,0.02414541
1691712000000,2023-08-11,0.02777071
1691798400000,2023-08-12,0.02816091
1691884800000,2023-08-13,0.02820999
1691971200000,2023-08-14,0.02990946
1692057600000,2023-08-15,0.03560891
1692144000000,2023-08-16,0.03035867
1692230400000,2023-08-17,0.03369791
1692316800000,2023-08-18,0.03677396
1692403200000,2023-08-19,0.0310788
1692489600000,2023-08-20,0.03018875
1692576000000,2023-08-21,0.02730762
1692662400000,2023-08-22,0.02654695
1692748800000,2023-08-23,0.03955154
1692835200000,2023-08-24,0.0289887
1692921600000,2023-08-25,0.02797366
1693008000000,2023-08-26,0.02768734
1693094400000,2023-08-27,0.01912157
1693180800000,2023-08-28,0.01804558
1693267200000,2023-08-29,0.03547765
1693353600000,2023-08-30,0.024349
1693440000000,2023-08-31,0.03015496
1693526400000,2023-09-01,0.0337763
1693612800000,2023-09-02,0.02832528
1693699200000,2023-09-03,0.03397316
1693785600000,2023-09-04,0.02601674
1693872000000,2023-09-05,0.0253243
1693958400000,2023-09-06,0.02848314
1694044800000,2023-09-07,0.02994368
1694131200000,2023-09-08,0.03472409
1694217600000,2023-09-09,0.02420265
1694304000000,2023-09-10,0.02283511
1694390400000,2023-09-11,0.02982613
1694476800000,2023-09-12,0.0319098
1694563200000,2023-09-13,0.02794495
1694649600000,2023-09-14,0.03040976
1694736000000,2023-09-15,0.02434728
1694822400000,2023-09-16,0.02316435
1694908800000,2023-09-17,0.01963491
1694995200000,2023-09-18,0.02910278
1695081600000,2023-09-19,0.02747589
1695168000000,2023-09-20,0.0241348
1695254400000,2023-09-21,0.03023046
1695340800000,2023-09-22,0.02856776
1695427200000,2023-09-23,0.02291891
1695513600000,2023-09-24,0.03100583
1695600000000,2023-09-25,0.02847381
1695686400000,2023-09-26,0.03066734
1695772800000,2023-09-27,0.03115121
1695859200000,2023-09-28,0.04106984
1695945600000,2023-09-29,0.02288705
1696032000000,2023-09-30,0.02042097
1696118400000,2023-10-01,0.02679564
1696204800000,2023-10-02,0.02961644
1696291200000,2023-10-03,0.02323717
1696377600000,2023-10-04,0.02116592
1696464000000,2023-10-05,0.02182909
1696550400000,2023-10-06,0.02146582
1696636800000,2023-10-07,0.01668055
1696723200000,2023-10-08,0.01746396
1696809600000,2023-10-09,0.02706477
1696896000000,2023-10-10,0.02220771
1696982400000,2023-10-11,0.02510963
1697068800000,2023-10-12,0.02981996
1697155200000,2023-10-13,0.03047306
1697241600000,2023-10-14,0.01803261
1697328000000,2023-10-15,0.02815106
1697414400000,2023-10-16,0.03850279
1697500800000,2023-10-17,0.03146863
1697587200000,2023-10-18,0.02533441
1697673600000,2023-10-19,0.03017541
1697760000000,2023-10-20,0.03580885
1697846400000,2023-10-21,0.03029619
