start_time,date,exchange_whale_ratio
1684886400000,2023-05-24,0.129405
1684972800000,2023-05-25,0.13454196
1685059200000,2023-05-26,0.19784181
1685145600000,2023-05-27,0.13512556
1685232000000,2023-05-28,0.11939626
1685318400000,2023-05-29,0.13689849
1685404800000,2023-05-30,0.13559565
1685491200000,2023-05-31,0.27154188
1685577600000,2023-06-01,0.13583151
1685664000000,2023-06-02,0.10925916
1685750400000,2023-06-03,0.34892418
1685836800000,2023-06-04,0.20195785
1685923200000,2023-06-05,0.16653376
1686009600000,2023-06-06,0.15624221
1686096000000,2023-06-07,0.12108134
1686182400000,2023-06-08,0.20689363
1686268800000,2023-06-09,0.16842172
1686355200000,2023-06-10,0.16150552
1686441600000,2023-06-11,0.22370166
1686528000000,2023-06-12,0.2707955
1686614400000,2023-06-13,0.1465021
1686700800000,2023-06-14,0.25466789
1686787200000,2023-06-15,0.11496211
1686873600000,2023-06-16,0.10718524
1686960000000,2023-06-17,0.12872872
1687046400000,2023-06-18,0.14576663
1687132800000,2023-06-19,0.14801267
1687219200000,2023-06-20,0.20722949
1687305600000,2023-06-21,0.08517517
1687392000000,2023-06-22,0.10252786
1687478400000,2023-06-23,0.11339903
1687564800000,2023-06-24,0.13843639
1687651200000,2023-06-25,0.11835767
1687737600000,2023-06-26,0.09770521
1687824000000,2023-06-27,0.12413022
1687910400000,2023-06-28,0.11759987
1687996800000,2023-06-29,0.07834128
1688083200000,2023-06-30,0.09867808
1688169600000,2023-07-01,0.09840451
1688256000000,2023-07-02,0.11403944
1688342400000,2023-07-03,0.19885661
1688428800000,2023-07-04,0.13263644
1688515200000,2023-07-05,0.17854112
1688601600000,2023-07-06,0.11921718
1688688000000,2023-07-07,0.09284554
1688774400000,2023-07-08,0.14355027
1688860800000,2023-07-09,0.11439151
1688947200000,2023-07-10,0.16638282
1689033600000,2023-07-11,0.14188715
1689120000000,2023-07-12,0.09923522
1689206400000,2023-07-13,0.1556272
1689292800000,2023-07-14,0.14069103
1689379200000,2023-07-15,0.1716513
1689465600000,2023-07-16,0.19754702
1689552000000,2023-07-17,0.12032525
1689638400000,2023-07-18,0.14463925
1689724800000,2023-07-19,0.31467735
1689811200000,2023-07-20,0.11971135
1689897600000,2023-07-21,0.14060925
1689984000000,2023-07-22,0.16527716
1690070400000,2023-07-23,0.17624162
1690156800000,2023-07-24,0.228789
1690243200000,2023-07-25,0.24047902
1690329600000,2023-07-26,0.16439714
1690416000000,2023-07-27,0.33553387
1690502400000,2023-07-28,0.15760639
1690588800000,2023-07-29,0.16446605
1690675200000,2023-07-30,0.2389509
1690761600000,2023-07-31,0.21449039
1690848000000,2023-08-01,0.17431254
1690934400000,2023-08-02,0.17186232
1691020800000,2023-08-03,0.17798284
1691107200000,2023-08-04,0.21461888
1691193600000,2023-08-05,0.25471599
1691280000000,2023-08-06,0.28465471
1691366400000,2023-08-07,0.25033302
1691452800000,2023-08-08,0.15729185
1691539200000,2023-08-09,0.18754927
1691625600000,2023-08-10,0.20996998
1691712000000,2023-08-11,0.2194769
1691798400000,2023-08-12,0.26188021
1691884800000,2023-08-13,0.27021031
1691971200000,2023-08-14,0.23354146
1692057600000,2023-08-15,0.20970856
1692144000000,2023-08-16,0.20590311
1692230400000,2023-08-17,0.23445522
1692316800000,2023-08-18,0.17699026
1692403200000,2023-08-19,0.22687494
1692489600000,2023-08-20,0.21541722
1692576000000,2023-08-21,0.15415573
