start_time,date,mvrv
1677456000000,2023-02-27,1.18242991
1677542400000,2023-02-28,1.16556911
1677628800000,2023-03-01,1.19061323
1677715200000,2023-03-02,1.18281268
1677801600000,2023-03-03,1.12776265
1677888000000,2023-03-04,1.126922
1677974400000,2023-03-05,1.13184001
1678060800000,2023-03-06,1.13123632
1678147200000,2023-03-07,1.12420319
1678233600000,2023-03-08,1.09947825
1678320000000,2023-03-09,1.03175237
1678406400000,2023-03-10,1.01967398
1678492800000,2023-03-11,1.03103052
1678579200000,2023-03-12,1.10916918
1678665600000,2023-03-13,1.22023862
1678752000000,2023-03-14,1.24558897
1678838400000,2023-03-15,1.22443518
1678924800000,2023-03-16,1.26165507
1679011200000,2023-03-17,1.37940322
1679097600000,2023-03-18,1.35361908
1679184000000,2023-03-19,1.40505732
1679270400000,2023-03-20,1.3916218
1679356800000,2023-03-21,1.4108009
1679443200000,2023-03-22,1.36987962
1679529600000,2023-03-23,1.41736292
1679616000000,2023-03-24,1.37409177
1679702400000,2023-03-25,1.37558838
1679788800000,2023-03-26,1.40121662
1679875200000,2023-03-27,1.35676716
1679961600000,2023-03-28,1.36321199
1680048000000,2023-03-29,1.41680833
1680134400000,2023-03-30,1.42210759
1680220800000,2023-03-31,1.44306325
1680307200000,2023-04-01,1.44161048
1680393600000,2023-04-02,1.42700166
1680480000000,2023-04-03,1.40782125
1680566400000,2023-04-04,1.42668992
1680652800000,2023-04-05,1.42463708
1680739200000,2023-04-06,1.41818777
1680825600000,2023-04-07,1.41335752
1680912000000,2023-04-08,1.41389991
1680998400000,2023-04-09,1.4320812
1681084800000,2023-04-10,1.49844836
1681171200000,2023-04-11,1.52441962
1681257600000,2023-04-12,1.50703804
1681344000000,2023-04-13,1.53029326
1681430400000,2023-04-14,1.53325961
1681516800000,2023-04-15,1.52462472
1681603200000,2023-04-16,1.52537212
1681689600000,2023-04-17,1.48016188
1681776000000,2023-04-18,1.52709537
1681862400000,2023-04-19,1.44639098
1681948800000,2023-04-20,1.41929097
1682035200000,2023-04-21,1.36938408
1682121600000,2023-04-22,1.39719822
1682208000000,2023-04-23,1.38564153
1682294400000,2023-04-24,1.38135334
1682380800000,2023-04-25,1.42176766
1682467200000,2023-04-26,1.4262808
1682553600000,2023-04-27,1.47896262
1682640000000,2023-04-28,1.46976534
1682726400000,2023-04-29,1.46492938
1682812800000,2023-04-30,1.46414637
1682899200000,2023-05-01,1.40643486
1682985600000,2023-05-02,1.43469519
1683072000000,2023-05-03,1.45184864
1683158400000,2023-05-04,1.44319947
1683244800000,2023-05-05,1.47402586
1683331200000,2023-05-06,1.43257862
1683417600000,2023-05-07,1.40748323
1683504000000,2023-05-08,1.37510946
1683590400000,2023-05-09,1.37320506
1683676800000,2023-05-10,1.36983367
1683763200000,2023-05-11,1.34234769
1683849600000,2023-05-12,1.33305707
1683936000000,2023-05-13,1.33234727
1684022400000,2023-05-14,1.33961076
1684108800000,2023-05-15,1.35020732
1684195200000,2023-05-16,1.34343813
1684281600000,2023-05-17,1.36226987
1684368000000,2023-05-18,1.33322644
1684454400000,2023-05-19,1.33627835
1684540800000,2023-05-20,1.34679012
1684627200000,2023-05-21,1.3288361
1684713600000,2023-05-22,1.33261417
1684800000000,2023-05-23,1.35095583
